"id","Status_Final","Rank_Valid","Prop_Sens_A_OK","Prop_Sens_B_OK","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C","Mean_Visual_A","Mean_Visual_B","Mean_Visual_C"
30,"Selected_Tier_1",11,1,0.916666666666667,0.962264150943396,0.904761904761905,0.875,0.655172413793103,6.68965517241379,6.25,6.49056603773585,1.47619047619048,3.06896551724138,6.54166666666667,1.47619047619048,3.47270114942529,5.01437556154537,0.175675675675676,0.0344827586206897,0.125,0.428571428571429,6.79310344827586,6.45833333333333,4.80952380952381
64,"Selected_Tier_1",12,0.9,0.91304347826087,0.905660377358491,0.863636363636364,0.782608695652174,0.733333333333333,5.93333333333333,6.08695652173913,6,1.63636363636364,2.53333333333333,6,2.04545454545455,3.46666666666667,4.36363636363636,0.0533333333333333,0.0333333333333333,0,0.136363636363636,6.76666666666667,6.91304347826087,6
27,"Selected_Tier_1",13,1,0.91304347826087,0.962264150943396,0.863636363636364,0.956521739130435,0.633333333333333,6.83333333333333,5.82608695652174,6.39622641509434,1.54545454545455,2.96666666666667,6.39130434782609,2,3.42463768115942,4.85077186963979,0.0933333333333333,0,0.0434782608695652,0.272727272727273,6.9,6.60869565217391,5.59090909090909
29,"Selected_Tier_1",14,1,0.92,0.958333333333333,0.96551724137931,0.84,0.739130434782609,6.56521739130435,6.24,6.39583333333333,1.24137931034483,2.69565217391304,6.12,1.20689655172414,3.42434782608696,5.15445402298851,0.038961038961039,0.0434782608695652,0.04,0.0344827586206897,6.8695652173913,6.6,6.58620689655172
56,"Selected_Tier_1",15,0.782608695652174,0.96,0.875,0.896551724137931,0.88,0.652173913043478,5.26086956521739,6.68,6,1.31034482758621,2.69565217391304,6.12,1.31034482758621,3.42434782608696,4.68965517241379,0.0779220779220779,0.0434782608695652,0,0.172413793103448,6.78260869565217,6.84,5.93103448275862
125,"Selected_Tier_1",16,1,0.862068965517241,0.925925925925926,0.875,0.827586206896552,0.8,6.68,5.31034482758621,5.94444444444444,1.33333333333333,2.48,5.86206896551724,1.25,3.38206896551724,4.61111111111111,0.0384615384615385,0,0.0344827586206897,0.0833333333333333,6.8,6.75862068965517,6.16666666666667
59,"Selected_Tier_1",17,0.76,0.931034482758621,0.851851851851852,1,0.724137931034483,0.8,5.24,6.06896551724138,5.68518518518519,1.04166666666667,2.16,5.51724137931035,1.04166666666667,3.35724137931035,4.64351851851852,0.141025641025641,0,0.0344827586206897,0.416666666666667,6.88,6.6551724137931,4.91666666666667
81,"Selected_Tier_1",18,0.904761904761905,0.954545454545455,0.930232558139535,1,0.909090909090909,0.619047619047619,6.14285714285714,6.5,6.32558139534884,1.04545454545455,3.14285714285714,6.5,1.18181818181818,3.35714285714286,5.28012684989429,0.0461538461538462,0.0476190476190476,0,0.0909090909090909,6.80952380952381,6.81818181818182,6.54545454545455
126,"Selected_Tier_1",19,0.909090909090909,1,0.955555555555556,0.92,0.91304347826087,0.545454545454545,5.68181818181818,6.8695652173913,6.28888888888889,1.4,3,6.34782608695652,1.84,3.34782608695652,4.88888888888889,0.0285714285714286,0.0454545454545455,0,0.04,6.5,6.91304347826087,6.56
122,"Selected_Tier_1",20,0.869565217391304,1,0.933333333333333,0.782608695652174,0.954545454545455,0.565217391304348,5.95652173913043,6.36363636363636,6.15555555555556,1.65217391304348,3.43478260869565,6.77272727272727,1.60869565217391,3.33794466403162,4.50338164251208,0.0441176470588235,0,0.0909090909090909,0.0434782608695652,6.82608695652174,6.45454545454545,6.30434782608696
