Item,Condition,Semantic_Score,Info_Score,Mean_Visual_Error
80,c,2.04347826086957,1.8695652173913,5.56521739130435
128,b,6.875,6.04166666666667,6.91666666666667
89,c,1.0952380952381,1.23809523809524,5.33333333333333
49,b,5.34782608695652,5.60869565217391,6.60869565217391
54,b,5.24,5.52,6.84
59,c,1.04166666666667,1.04166666666667,4.91666666666667
105,b,5.81818181818182,6.18181818181818,6.90909090909091
2,a,5.875,2.20833333333333,6.54166666666667
118,c,1.09090909090909,1.36363636363636,5.86363636363636
31,b,5.57142857142857,5.33333333333333,6.42857142857143
50,a,5.81818181818182,4.09090909090909,6.72727272727273
37,b,6.81818181818182,6.77272727272727,6.54545454545455
103,a,7.0,2.82608695652174,6.73913043478261
92,a,6.63636363636364,4.59090909090909,6.86363636363636
25,c,2.0,1.41666666666667,6.04166666666667
29,a,6.56521739130435,2.69565217391304,6.8695652173913
66,c,1.77272727272727,2.09090909090909,6.27272727272727
56,c,1.31034482758621,1.31034482758621,5.93103448275862
125,b,5.31034482758621,5.86206896551724,6.75862068965517
83,c,1.08695652173913,1.65217391304348,6.17391304347826
138,a,5.56666666666667,2.76666666666667,6.23333333333333
30,b,6.25,6.54166666666667,6.45833333333333
71,a,6.54545454545455,3.45454545454545,6.40909090909091
84,c,1.1304347826087,1.08695652173913,6.30434782608696
51,a,6.13636363636364,2.72727272727273,6.63636363636364
67,c,1.4,1.76,4.6
21,b,6.18181818181818,5.77272727272727,6.95454545454545
123,c,2.0,2.08695652173913,5.60869565217391
139,b,5.82608695652174,5.82608695652174,6.78260869565217
33,b,4.96,5.72,6.56
5,a,6.77272727272727,3.04545454545455,6.77272727272727
62,a,6.58333333333333,3.08333333333333,6.20833333333333
127,c,1.10344827586207,1.31034482758621,6.41379310344828
136,c,1.22727272727273,1.18181818181818,6.54545454545455
78,c,1.13333333333333,1.2,6.73333333333333
25,a,6.96,2.56,6.88
43,a,6.58620689655172,3.58620689655172,6.96551724137931
35,b,6.0,5.38095238095238,6.42857142857143
92,b,6.26666666666667,6.0,6.9
89,a,6.44827586206897,3.62068965517241,6.93103448275862
147,c,1.58620689655172,1.72413793103448,5.79310344827586
26,b,6.5,6.58333333333333,6.79166666666667
28,a,6.6551724137931,3.79310344827586,6.96551724137931
122,c,1.65217391304348,1.60869565217391,6.30434782608696
128,c,1.38095238095238,1.33333333333333,5.71428571428571
103,b,6.09090909090909,5.63636363636364,6.04545454545455
107,c,1.5,1.86666666666667,6.76666666666667
126,c,1.4,1.84,6.56
120,b,4.57142857142857,4.76190476190476,6.38095238095238
142,b,6.29166666666667,5.75,6.70833333333333
102,a,5.71428571428571,3.23809523809524,6.28571428571429
51,b,5.04545454545455,5.59090909090909,6.77272727272727
24,b,5.5,5.59090909090909,6.36363636363636
136,b,5.95238095238095,6.0,6.76190476190476
110,c,1.8,2.13333333333333,6.26666666666667
27,b,5.82608695652174,6.39130434782609,6.60869565217391
18,b,5.86206896551724,6.27586206896552,6.79310344827586
31,c,1.54545454545455,1.22727272727273,6.59090909090909
117,a,6.76,2.6,6.76
69,c,1.68181818181818,1.81818181818182,6.40909090909091
134,a,6.24137931034483,3.3448275862069,6.72413793103448
83,a,6.68181818181818,4.63636363636364,6.77272727272727
36,a,6.5,2.40909090909091,6.77272727272727
73,a,6.68181818181818,3.45454545454545,6.72727272727273
38,c,1.33333333333333,1.08333333333333,6.45833333333333
119,c,1.59090909090909,1.90909090909091,4.72727272727273
140,c,1.51724137931034,1.55172413793103,6.31034482758621
