"id","Status_Final","Rank_Valid","Prop_Sens_AB_OK","Prop_Sens_C_Reject","Prop_Info_B_OK","Prop_Info_A_Reject","Mean_Sens_A","Mean_Sens_B","Mean_Sens_AB","Mean_Sens_C","Mean_Info_A","Mean_Info_B","Mean_Info_C","Information_Contrast_B_A","Semantic_Contrast_AB_C","Total_Prop_Visual_Error","Prop_Visual_Error_A","Prop_Visual_Error_B","Prop_Visual_Error_C"
143,"Selected_Tier_1",14,0.979166666666667,0.8,1,0.555555555555556,6.85185185185185,6.66666666666667,6.77083333333333,1.6,3.48148148148148,6.85714285714286,1.3,3.37566137566138,5.17083333333333,0.117647058823529,0,0,0.4
126,"Selected_Tier_1",15,0.911111111111111,0.916666666666667,0.91304347826087,0.545454545454545,5.68181818181818,6.8695652173913,6.28888888888889,1.41666666666667,3,6.34782608695652,1.875,3.34782608695652,4.87222222222222,0.0289855072463768,0.0454545454545455,0,0.0416666666666667
76,"Selected_Tier_1",16,0.711111111111111,0.708333333333333,0.739130434782609,0.818181818181818,5.45454545454545,4.8695652173913,5.15555555555556,2.04166666666667,2.09090909090909,5.39130434782609,1.5,3.300395256917,3.11388888888889,0.101449275362319,0.181818181818182,0.0869565217391304,0.0416666666666667
75,"Selected_Tier_1",17,0.658536585365854,0.80952380952381,0.952380952380952,0.6,5.2,5.47619047619048,5.34146341463415,1.76190476190476,3,6.28571428571429,2.57142857142857,3.28571428571429,3.57955865272938,0.145161290322581,0.1,0.0476190476190476,0.285714285714286
78,"Selected_Tier_1",18,0.904761904761905,0.96551724137931,0.904761904761905,0.666666666666667,6.38095238095238,6.33333333333333,6.35714285714286,1.13793103448276,3.04761904761905,6.33333333333333,1.20689655172414,3.28571428571429,5.2192118226601,0.0140845070422535,0,0,0.0344827586206897
125,"Selected_Tier_1",19,0.862745098039216,0.857142857142857,0.814814814814815,0.791666666666667,6.66666666666667,5.2962962962963,5.94117647058824,1.38095238095238,2.54166666666667,5.81481481481481,1.23809523809524,3.27314814814815,4.56022408963585,0.0277777777777778,0,0.037037037037037,0.0476190476190476
30,"Selected_Tier_1",20,0.916666666666667,0.9,0.857142857142857,0.62962962962963,6.66666666666667,6.14285714285714,6.4375,1.5,3.22222222222222,6.47619047619048,1.5,3.25396825396825,4.9375,0.176470588235294,0.037037037037037,0.142857142857143,0.4
48,"Selected_Tier_1",21,0.936170212765957,0.962962962962963,0.916666666666667,0.608695652173913,6.69565217391304,6.33333333333333,6.51063829787234,1.14814814814815,3.17391304347826,6.41666666666667,1.55555555555556,3.24275362318841,5.36249014972419,0.0405405405405405,0,0,0.111111111111111
51,"Selected_Tier_1",22,0.761904761904762,0.862068965517241,0.761904761904762,0.761904761904762,6.09523809523809,5.23809523809524,5.66666666666667,1.58620689655172,2.52380952380952,5.76190476190476,1.89655172413793,3.23809523809524,4.08045977011494,0.0985915492957746,0.0476190476190476,0,0.206896551724138
122,"Selected_Tier_1",23,0.840909090909091,0.782608695652174,0.954545454545455,0.545454545454545,5.95454545454545,6.36363636363636,6.15909090909091,1.65217391304348,3.54545454545455,6.77272727272727,1.60869565217391,3.22727272727273,4.50691699604743,0.0447761194029851,0,0.0909090909090909,0.0434782608695652
81,"Selected_Tier_1",24,0.902439024390244,1,0.904761904761905,0.6,6.2,6.47619047619048,6.34146341463415,1.04761904761905,3.25,6.47619047619048,1.19047619047619,3.22619047619048,5.2938443670151,0.032258064516129,0.05,0,0.0476190476190476
59,"Selected_Tier_1",25,0.823529411764706,1,0.703703703703704,0.791666666666667,5.16666666666667,6,5.6078431372549,1.04761904761905,2.20833333333333,5.40740740740741,1.04761904761905,3.19907407407407,4.56022408963585,0.125,0,0.037037037037037,0.380952380952381
69,"Selected_Tier_1",26,0.901960784313726,0.818181818181818,0.909090909090909,0.620689655172414,6.6551724137931,5.95454545454545,6.35294117647059,1.68181818181818,2.89655172413793,6.09090909090909,1.81818181818182,3.19435736677116,4.67112299465241,0.0547945205479452,0.0344827586206897,0.0454545454545455,0.0909090909090909
107,"Selected_Tier_1",27,0.976190476190476,0.931034482758621,0.857142857142857,0.714285714285714,6.85714285714286,6.28571428571429,6.57142857142857,1.51724137931034,2.85714285714286,6.04761904761905,1.89655172413793,3.19047619047619,5.05418719211823,0.0140845070422535,0,0,0.0344827586206897
136,"Selected_Tier_1",28,0.804878048780488,0.952380952380952,0.8,0.666666666666667,6.66666666666667,5.9,6.29268292682927,1.23809523809524,2.76190476190476,5.95,1.19047619047619,3.18809523809524,5.05458768873403,0.032258064516129,0,0.05,0.0476190476190476
37,"Selected_Tier_1",29,0.954545454545455,0.956521739130435,0.954545454545455,0.5,6.77272727272727,6.81818181818182,6.79545454545455,1.21739130434783,3.59090909090909,6.77272727272727,1.26086956521739,3.18181818181818,5.57806324110672,0.0597014925373134,0,0.0909090909090909,0.0869565217391304
42,"Selected_Tier_1",30,0.705882352941177,0.904761904761905,0.740740740740741,0.791666666666667,5.45833333333333,5.07407407407407,5.25490196078431,1.38095238095238,2.33333333333333,5.48148148148148,1.80952380952381,3.14814814814815,3.87394957983193,0.0694444444444444,0.0416666666666667,0.037037037037037,0.142857142857143
32,"Selected_Tier_1",31,0.80952380952381,0.827586206896552,0.952380952380952,0.571428571428571,5.66666666666667,5.95238095238095,5.80952380952381,1.58620689655172,3.14285714285714,6.28571428571429,1.68965517241379,3.14285714285714,4.22331691297209,0.0563380281690141,0,0,0.137931034482759
113,"Selected_Tier_1",32,0.893617021276596,0.888888888888889,0.833333333333333,0.739130434782609,6.39130434782609,6.16666666666667,6.27659574468085,1.48148148148148,2.60869565217391,5.75,1.48148148148148,3.14130434782609,4.79511426319937,0.027027027027027,0,0,0.0740740740740741
144,"Selected_Tier_1",33,0.862745098039216,0.80952380952381,0.851851851851852,0.625,6.70833333333333,5.22222222222222,5.92156862745098,1.47619047619048,2.75,5.88888888888889,1.38095238095238,3.13888888888889,4.4453781512605,0.0555555555555556,0,0.0740740740740741,0.0952380952380952
31,"Selected_Tier_1",34,0.75609756097561,0.904761904761905,0.75,0.714285714285714,5.47619047619048,5.55,5.51219512195122,1.57142857142857,2.33333333333333,5.45,1.23809523809524,3.11666666666667,3.94076655052265,0.032258064516129,0.0952380952380952,0,0
13,"Selected_Tier_1",35,0.893617021276596,0.703703703703704,0.833333333333333,0.695652173913043,6.30434782608696,6.41666666666667,6.36170212765957,1.96296296296296,2.65217391304348,5.75,2,3.09782608695652,4.39873916469661,0.0540540540540541,0,0.0416666666666667,0.111111111111111
